RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VIVersatility,ORTGOffensive,DRTGDefensive
,Malik Fitts,Bos,F,20,9,1.8,3.7,11.3,0,0,0,2,0.5,2,1,1,1,0.9,0.2,7.1,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,24,6,6.1,12.6,10.2,12.5,0,0,4,0,3,0,0,0,0,0.5,5.1,0.5,10.5,0.17,0,0.17,0,40.7,100.4
,Bryn Forbes,Den,G,29,5,15.3,31.8,10.9,10.4,5,0.8,4,0.5,11,0.364,0.533,0.581,4,0.6,2.4,1.4,12.3,0.2,0,0.4,3.9,120.8,110.3
,Danilo Gallinari,Atl,F,34,5,22.3,46.5,22.6,9.1,11,1,30,0.467,15,0.267,0.444,0.512,10.2,4.2,11.4,0.8,6.5,0.2,0,1,5.8,100.9,112.3
,Rudy Gobert,Uta,C,30,6,32.8,68.4,14.4,13.3,44,0.682,33,0.636,0,0,0.636,0.688,12,13.2,23.3,0.5,2.4,0.17,1,1.33,5.2,136.7,100.7
,Aaron Gordon,Den,F,27,5,32,66.8,20.2,10.8,28,0.714,39,0.513,15,0.2,0.454,0.52,13.8,7.2,13.9,2.6,12,0.4,1.2,1.6,8,114.4,108.5
,Devonte' Graham,Nor,G,27,6,10,20.9,18.3,15.7,8,0.875,4,0.25,14,0.357,0.472,0.558,4,1.5,8.8,0.7,9.3,0.17,0.17,0.67,6.5,107.7,112.6
,Danny Green,Phi,G,35,12,26.6,55.5,15.1,12.7,1,0,13,0.385,76,0.408,0.579,0.576,8.6,3.1,7.1,0.8,4.9,0.92,0.33,1.08,4.2,103.9,108.1
,Draymond Green,Gol,F,32,22,32,66.6,14,26.4,47,0.638,105,0.581,39,0.205,0.507,0.534,8,7.3,12.8,6.3,25.7,1.14,1,2.68,9,106.8,96.6
,Javonte Green,Chi,G-F,29,5,14.3,29.8,13.4,18.3,2,0.5,11,0.273,6,0,0.176,0.196,1.4,3,10.5,0.4,3.9,1.8,0,0.8,3.3,64.4,99.5
,JaMychal Green,Den,F-C,32,5,13.7,28.6,13.4,9.5,7,1,11,0.455,5,0.2,0.406,0.524,4,2.4,10.8,0.4,4,0,0.2,0.4,4.6,110.9,99.1
,Jeff Green,Den,F,36,5,22.7,47.3,8.1,9.4,5,0.8,9,0.333,8,0.375,0.441,0.495,3.8,3.6,9.8,0.4,2.3,0.6,0.4,0.4,3.1,113.1,111.8
,Josh Green,Dal,G,22,16,7.6,15.8,12.3,0,8,0.25,6,0.5,22,0.227,0.375,0.365,1.4,0.8,5.8,0.4,8.4,0.31,0,0,4,88.3,99.2
,Blake Griffin,Bro,F,33,2,12.8,26.6,16,11.3,2,1,2,0,5,0.4,0.429,0.508,4,2,10.2,2,21.2,0.5,0.5,0.5,7.9,121.8,105.8
,James Harden,Phi,G,33,12,39.9,83.1,23.7,20.7,75,0.893,82,0.439,76,0.368,0.494,0.584,18.6,5.7,8.7,8.6,34.8,0.75,0.75,4.17,9.7,111.4,109.4
,Tobias Harris,Phi,F,30,12,38.8,80.9,19.1,9.5,22,0.864,105,0.562,57,0.386,0.568,0.591,16.9,7.6,12,2.9,13,1.08,0.83,1.5,7.4,113.9,105.5
,Sam Hauser,Bos,F,25,7,2.1,4.4,14.9,0,2,1,1,0,3,0.333,0.375,0.512,0.7,0.1,3.8,0.3,19.5,0,0,0,5.3,,
